date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:38	186728/186728	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-solid-900.eot	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-solid-900.eot	(from https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/css/all.css)
16:28:41	30450/30450	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/flat_icons/Flaticon.eot	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/flat_icons/Flaticon.eot	(from https://sujon.softtopit.com/frontend/assets/fonts/flat_icons/flaticon.css)
16:28:44	30450/30450	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/flat_icons/Flaticond41d.eot?	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/flat_icons/Flaticond41dd41d.eot	(from https://sujon.softtopit.com/frontend/assets/fonts/flat_icons/flaticon.css)
16:28:47	16864/16864	---M--	200	added ('OK')	font/woff	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/flat_icons/Flaticon.woff	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/flat_icons/Flaticon.woff	(from https://sujon.softtopit.com/frontend/assets/fonts/flat_icons/flaticon.css)
16:28:47	96256/96256	---M--	200	added ('OK')	font/woff	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-solid-900.woff	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-solid-900.woff	(from https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/css/all.css)
16:28:48	186444/186444	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-solid-900.ttf	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-solid-900.ttf	(from https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/css/all.css)
16:28:49	30272/30272	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/flat_icons/Flaticon.ttf	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/flat_icons/Flaticon.ttf	(from https://sujon.softtopit.com/frontend/assets/fonts/flat_icons/flaticon.css)
16:28:50	5039/5039	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202024%2010:28:53%20GMT	https://sujon.softtopit.com/storage/images/portfolio/1707153143.png	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/storage/images/portfolio/1707153143.png	(from https://sujon.softtopit.com/works)
16:28:52	22615/22615	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Feb%202024%2010:28:54%20GMT	https://sujon.softtopit.com/works?page=2	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/works4658	(from https://sujon.softtopit.com/works)
16:28:53	45745/45745	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/img/bg/counter-bg.png	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/img/bg/counter-bg.png	(from https://sujon.softtopit.com/frontend/assets/css/style.css)
16:28:53	21392/21392	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Jan%202022%2007:54:46%20GMT	https://sujon.softtopit.com/storage/images/team/1642060486.jpg	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/storage/images/team/1642060486.jpg	(from https://sujon.softtopit.com/teams)
16:28:54	219020/219020	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/flat_icons/Flaticon.svg	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/flat_icons/Flaticon.svg	(from https://sujon.softtopit.com/frontend/assets/fonts/flat_icons/flaticon.css)
16:28:55	39636/39636	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Sep%202023%2008:11:21%20GMT	https://sujon.softtopit.com/storage/images/team/1695888681.jpg	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/storage/images/team/1695888681.jpg	(from https://sujon.softtopit.com/teams)
16:29:06	821453/821453	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-solid-900.svg	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-solid-900.svg	(from https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/css/all.css)
16:29:07	134346/134346	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2008%20Jun%202021%2003:24:46%20GMT	https://sujon.softtopit.com/backend/assets/plugins/fontawesome-free/webfonts/fa-brands-400.eot	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/backend/assets/plugins/fontawesome-free/webfonts/fa-brands-400.eot	(from https://sujon.softtopit.com/backend/assets/plugins/fontawesome-free/css/all.min.css)
16:29:08	211378/211378	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Aug%202022%2013:24:26%20GMT	https://sujon.softtopit.com/storage/images/gallery/1661347465.jpg	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/storage/images/gallery/1661347465.jpg	(from https://sujon.softtopit.com/galleries)
16:29:15	76764/76764	---M--	200	added ('OK')	font/woff2	date:Tue,%2008%20Jun%202021%2003:24:46%20GMT	https://sujon.softtopit.com/backend/assets/plugins/fontawesome-free/webfonts/fa-brands-400.woff2	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/backend/assets/plugins/fontawesome-free/webfonts/fa-brands-400.woff2	(from https://sujon.softtopit.com/backend/assets/plugins/fontawesome-free/css/all.min.css)
16:29:16	134346/134346	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2008%20Jun%202021%2003:24:46%20GMT	https://sujon.softtopit.com/backend/assets/plugins/fontawesome-free/webfonts/fa-brands-400.eot?	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/backend/assets/plugins/fontawesome-free/webfonts/fa-brands-400d41d.eot	(from https://sujon.softtopit.com/backend/assets/plugins/fontawesome-free/css/all.min.css)
16:29:22	90060/90060	---M--	200	added ('OK')	font/woff	date:Tue,%2008%20Jun%202021%2003:24:46%20GMT	https://sujon.softtopit.com/backend/assets/plugins/fontawesome-free/webfonts/fa-brands-400.woff	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/backend/assets/plugins/fontawesome-free/webfonts/fa-brands-400.woff	(from https://sujon.softtopit.com/backend/assets/plugins/fontawesome-free/css/all.min.css)
16:29:29	34034/34034	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2008%20Jun%202021%2003:24:46%20GMT	https://sujon.softtopit.com/backend/assets/plugins/fontawesome-free/webfonts/fa-regular-400.eot	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/backend/assets/plugins/fontawesome-free/webfonts/fa-regular-400.eot	(from https://sujon.softtopit.com/backend/assets/plugins/fontawesome-free/css/all.min.css)
16:29:30	134040/134040	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2008%20Jun%202021%2003:24:46%20GMT	https://sujon.softtopit.com/backend/assets/plugins/fontawesome-free/webfonts/fa-brands-400.ttf	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/backend/assets/plugins/fontawesome-free/webfonts/fa-brands-400.ttf	(from https://sujon.softtopit.com/backend/assets/plugins/fontawesome-free/css/all.min.css)
16:29:31	34034/34034	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2008%20Jun%202021%2003:24:46%20GMT	https://sujon.softtopit.com/backend/assets/plugins/fontawesome-free/webfonts/fa-regular-400.eot?	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/backend/assets/plugins/fontawesome-free/webfonts/fa-regular-400d41d.eot	(from https://sujon.softtopit.com/backend/assets/plugins/fontawesome-free/css/all.min.css)
